date,total_events,conflict_war_count,econ_policy_count,government_political_count,civil_unrest_protest_count,diplomatic_relations_count,avg_goldstein_scale,avg_tone
2015-11-02,99739,20734,42106,32156,2635,22723,1.7111771724200144,-1.5942056038255124
2015-11-03,105334,21354,44004,33845,2920,24406,1.7741403535420666,-1.533592930070409
2015-11-04,114715,21433,46510,37649,3236,27180,1.9909288236063281,-1.5031427564933622
2015-11-05,114420,22221,47788,36746,3241,26505,1.9097019751791642,-1.472494905006668
2015-11-06,106411,19798,43201,33958,2997,26121,2.0007142118765926,-1.42198673608295
2015-11-07,70533,14923,29673,22058,2223,16470,1.5517956134008184,-1.6900341858852761
2015-11-08,66981,15239,29230,21000,1934,14729,1.3352965766411387,-1.789921200956885
2015-11-09,105231,20959,44251,34246,2876,23725,1.8450751204492972,-1.5007363530431967
2015-11-10,111701,21116,45743,37246,3186,25416,1.9662303828971961,-1.4165456500667857
2015-11-11,115335,21499,46085,39968,3342,25810,1.9852291151861976,-1.3806174003206966
2015-11-12,114355,21696,46119,38181,3420,26496,1.9197324122250894,-1.3927334163195217
2015-11-13,109751,23372,46783,34644,3104,25114,1.5813550673797969,-1.7058980984390517
2015-11-14,78746,21386,35705,23481,2061,17313,0.65141340512534052,-2.8316188892707883
2015-11-15,72905,20868,34449,21576,1832,14829,0.48783485357657258,-2.7906095265929731
2015-11-16,113978,29138,53371,33407,2502,24374,1.0553817403358547,-2.4992898134249337
2015-11-17,108068,24495,47958,32745,2571,24551,1.4566532183440073,-2.1438010974400603
2015-11-18,124229,29175,55683,38939,2892,26461,1.3618486826747362,-2.1100418892880914
2015-11-19,123883,29341,55615,38733,3175,26105,1.3204120016467165,-2.1788342519598638
2015-11-20,117943,27307,53630,36383,2749,24956,1.4371153862458965,-2.1291127541436716
2015-11-21,79082,20977,37229,23610,2284,15757,0.80783111201031743,-2.49317336082539
2015-11-22,71293,18210,33153,21660,2018,14316,0.96904604940176531,-2.2894086991355223
2015-11-23,110779,25306,48795,34543,3121,24190,1.3927675823035044,-1.8954082529978129
2015-11-24,128329,33181,59109,37919,3529,27623,0.91827256504765131,-2.0923844006970711
2015-11-25,130998,33004,60259,39260,3473,27845,1.0451037420418641,-2.0522852506574578
2015-11-26,111435,27252,49692,35511,2848,23230,1.1662816888769221,-1.9506042295790944
2015-11-27,102102,24469,45108,32341,2870,21669,1.2040479128714412,-2.0036948101676542
2015-11-28,75352,20800,35188,22417,2876,14742,0.49689855610998956,-2.3290832566586808
2015-11-29,74249,19098,33676,21938,2760,15734,0.79216420423170741,-2.1508322261280273
2015-11-30,109726,24299,47162,34630,3123,24633,1.4746523157683673,-1.7196320601003428
2015-12-01,116290,24744,51371,36893,2911,24929,1.6995777796887113,-1.6773156278035544
2015-12-02,119648,25814,52438,38184,2861,25981,1.6667625033431412,-1.5990825269645432
2015-12-03,117589,28321,53353,36855,2767,24438,1.2689103572613096,-1.8524642581710009
2015-12-04,113016,27174,51225,35345,2575,23660,1.2741514475826403,-1.7835519197932799
